State,Best Model,RMSE
Alabama,LSTM,10996386.898770092
Arizona,LSTM,11917948.569235533
Arkansas,LSTM,5552682.129150131
California,LSTM,24383781.076399405
Colorado,LSTM,6178873.35623674
Connecticut,LSTM,4233075.002515632
Florida,LSTM,61159687.630268745
Georgia,LSTM,23644521.973592896
Illinois,LSTM,13590600.767528523
Indiana,LSTM,9174574.493634718
Iowa,LSTM,5378503.181702828
Kansas,LSTM,2199039.6318496405
Kentucky,LSTM,7163414.1356515465
Louisiana,LSTM,11671820.619432945
Maine,LSTM,970586.7501598361
Maryland,LSTM,9447628.41082075
Massachusetts,XGBoost,8249862.629202342
Michigan,LSTM,16206749.352429844
Minnesota,LSTM,3419699.3710323307
Mississippi,LSTM,4823231.93820289
Missouri,LSTM,7637285.805983551
Nebraska,LSTM,1894154.884912787
Nevada,LSTM,4298481.244080675
New Hampshire,LSTM,3842989.8519147174
New Mexico,LSTM,3513800.3925178093
New York,LSTM,28497438.316379547
North Carolina,LSTM,15968955.919647524
Ohio,LSTM,19405250.699764147
Oklahoma,LSTM,3813414.734907867
Oregon,LSTM,7916519.175080965
Pennsylvania,LSTM,17167804.631796893
Rhode Island,LSTM,1141937.3628233746
South Carolina,LSTM,8407498.031594839
South Dakota,LSTM,819437.7196184004
Tennessee,LSTM,8716109.367839037
Texas,LSTM,44460193.303963564
Utah,LSTM,2689357.7526361905
Vermont,LSTM,730359.2665531929
Virginia,LSTM,11761708.87287722
Washington,LSTM,4902497.436674108
West Virginia,LSTM,5697446.110649087
Wisconsin,LSTM,9011867.406702116
Wyoming,LSTM,729027.3584752156
